№  | Дата/время      | Температура | Осадки (мм) 
---|-----------------|-------------|------------
1  | 2026-05-17T00:00| 16.6        | 0.0         
2  | 2026-05-17T01:00| 15.8        | 0.0         
3  | 2026-05-17T02:00| 15.3        | 0.0         
4  | 2026-05-17T03:00| 14.9        | 0.0         
5  | 2026-05-17T04:00| 14.6        | 0.0         
6  | 2026-05-17T05:00| 15.3        | 0.0         
7  | 2026-05-17T06:00| 17.2        | 0.0         
8  | 2026-05-17T07:00| 20.4        | 0.0         
9  | 2026-05-17T08:00| 21.9        | 0.0         
10 | 2026-05-17T09:00| 22.9        | 0.0         
11 | 2026-05-17T10:00| 24.0        | 0.0         
12 | 2026-05-17T11:00| 25.3        | 0.0         
13 | 2026-05-17T12:00| 26.7        | 0.0         
14 | 2026-05-17T13:00| 25.7        | 0.0         
15 | 2026-05-17T14:00| 26.5        | 0.0         
16 | 2026-05-17T15:00| 26.5        | 0.0         
17 | 2026-05-17T16:00| 26.9        | 0.0         
18 | 2026-05-17T17:00| 27.0        | 0.0         
19 | 2026-05-17T18:00| 26.4        | 0.0         
20 | 2026-05-17T19:00| 25.3        | 0.0         
21 | 2026-05-17T20:00| 21.5        | 0.0         
22 | 2026-05-17T21:00| 19.2        | 0.0         
23 | 2026-05-17T22:00| 18.5        | 0.0         
24 | 2026-05-17T23:00| 17.8        | 0.0         
